"Story","Title","Result","Date","Stability","Duration (s)"
"Checking the book service tele consulting services","Check the page is opening with home screen","SUCCESS","2020-07-02T19:47:58.174+05:30[Asia/Calcutta]","0.0","10.02"
"Checking the book service tele consulting services","Check the welcome page asking facility information","SUCCESS","2020-07-02T19:48:08.895+05:30[Asia/Calcutta]","0.0","69.1"
